timestamp,image_source,tag_name,probability,bbox_left,bbox_top,bbox_width,bbox_height
2025-12-05T13:45:41.972499,Pizza_Hut_General_1764914787545_11.jpg,Pizza Hut,0.8061,0.2337,0.2639,0.7663,0.6452
2025-12-05T13:45:41.972499,Pizza_Hut_General_1764914787545_11.jpg,Burger King,0.6703,0.0000,0.0000,0.8668,0.5960
2025-12-05T13:48:44.784566,Burger_King_General_1764828776875_3.jpg,Pizza Hut,0.9164,0.0334,0.3491,0.7535,0.6509
2025-12-05T13:48:44.784566,Burger_King_General_1764828776875_3.jpg,Pizza Hut,0.8508,0.2641,0.1565,0.7359,0.6899
2025-12-05T13:48:44.784566,Burger_King_General_1764828776875_3.jpg,Taco Bell,0.7675,0.0508,0.0000,0.8432,0.7754
2025-12-05T13:53:57.295292,Burger_King_General_1764854872383_16.jpg,Subway,0.7455,0.0126,0.0000,0.5644,0.9857
2025-12-05T14:00:05.747598,Burger_King_General_1764854872383_16.jpg,Subway,0.7455,0.0126,0.0000,0.5644,0.9857
2025-12-05T14:00:24.353286,Burger_King_General_1764828775950_2.jpg,Subway,0.9047,0.0000,0.3599,0.8172,0.6401
2025-12-05T14:00:24.353286,Burger_King_General_1764828775950_2.jpg,Burger King,0.8074,0.1863,0.1845,0.8137,0.6903
2025-12-05T14:00:24.353286,Burger_King_General_1764828775950_2.jpg,KFC,0.7356,0.0000,0.1427,0.7837,0.6624
2025-12-05T14:00:24.353286,Burger_King_General_1764828775950_2.jpg,Pizza Hut,0.6082,0.2233,0.0512,0.7767,0.6156
2025-12-05T14:00:24.353286,Burger_King_General_1764828775950_2.jpg,Pizza Hut,0.5935,0.0000,0.0000,0.7457,0.5162
2025-12-05T14:00:50.090339,Burger_King_General_1764828775950_2.jpg,Subway,0.9047,0.0000,0.3599,0.8172,0.6401
2025-12-05T14:00:50.090339,Burger_King_General_1764828775950_2.jpg,Burger King,0.8074,0.1863,0.1845,0.8137,0.6903
2025-12-05T14:00:50.090339,Burger_King_General_1764828775950_2.jpg,KFC,0.7356,0.0000,0.1427,0.7837,0.6624
2025-12-05T14:00:50.090339,Burger_King_General_1764828775950_2.jpg,Pizza Hut,0.6082,0.2233,0.0512,0.7767,0.6156
2025-12-05T14:00:50.090339,Burger_King_General_1764828775950_2.jpg,Pizza Hut,0.5935,0.0000,0.0000,0.7457,0.5162
2025-12-05T14:01:21.244540,Subway_General_1764829092943_6.jpg,Subway,0.9425,0.1531,0.0534,0.8469,0.6900
2025-12-05T14:01:21.244540,Subway_General_1764829092943_6.jpg,Subway,0.9217,0.0000,0.3682,0.7976,0.6318
2025-12-05T17:02:59.393420,Subway_General_1764829107831_19.jpg,Subway,0.9167,0.2044,0.2454,0.7956,0.6838
2025-12-05T17:02:59.393420,Subway_General_1764829107831_19.jpg,Subway,0.8660,0.0972,0.0128,0.8005,0.7098
2025-12-05T17:05:38.216061,Subway_General_1764829092943_6.jpg,Subway,0.9222,0.1485,0.3079,0.8515,0.6921
